MHIt-12,MHIt-11,MHIt-10,MHIt-9,MHIt-8,MHIt-7,MHIt-6,MHIt-5,MHIt-4,MHIt-3,MHIt-2,MHIt-1
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277
3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745
6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702
2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979
4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553
7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766
2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298
